S/N,A1,A2,A3,A4,A5,A6,A7,A8_Acknowledged_Problem,A8_Emphasize_control,A9_Visits,A9_Training,A9_Virus_free_material,A9_Physical_Removal,A10_Other_farmers,A10_Reputable_Sources,A10_IITA,A11a,A11b_Control,A11b_Trainings,A11b_Indirect_Interaction,A11b_Diagnosis,B5_Distortion,B5_Mosaic,B5_Yellow-Colouration,B5_Whiteflies,B5_Low_Yield,D3_Infrastructure,D3_Funds,D3_Trainings,D3_Inputs,D3_Mobility,D3_Recruitment,D4_More_Research,D4_Intervention,D4_Planting_Materials,D4_Training,D5_Good_farm_Practices,D5_Cooperation,D5_Other,E3_Physical_Removal,E3_Burn,E3_Report,
1,13,1,1,0,5,10,National Ass. Of Agric. Ext. work,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,
2,2,1,0,1,8,99,99,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,
3,2,1,0,1,15,0,99,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,
4,8,1,1,1,4,99,NCGA,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,
5,8,1,1,0,18,0,99,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,
6,8,0,1,0,17,0,99,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,
7,8,1,1,0,4,0,99,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,
8,13,1,1,0,22,1,Soil Sci. Society of Nig.,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,0,
9,12,1,1,1,18,0,99,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
10,12,0,0,99,18,0,99,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,
11,5,1,1,0,23,0,99,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,99,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,
12,3,1,0,1,4,0,99,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,
13,1,1,0,1,8,0,99,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,
14,1,0,1,1,9,0,99,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,
15,5,1,1,0,20,1,Nig. Ins of Anima Sci.,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,
16,4,0,1,1,N/A,0,99,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,
17,4,1,0,1,20,1,Maize growers ass. Ekiti,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,
18,9,1,1,1,25,1,AEDON,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,
19,11,1,1,1,29,1,Agric Ext and Mgt,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,
20,10,1,0,1,28,0,99,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,
21,11,1,1,1,27,1,Soil Sci. Society of Nig.,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,
22,3,0,0,1,4,0,99,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
23,7,1,1,0,7,0,99,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,
24,9,1,1,1,23,1,Agric and National Ass. Of Allied Workers Union,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,
25,9,1,0,1,29,1,Animal Husbandry,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,
